"time","$STATESET1.x","$STATESET2.x","der($STATESET1.x)","der($STATESET2.x)","der(vx)","der(vy)","der(x)","der(y)","F","vx","vy","x","y","$STATESET1.A[1]","$STATESET1.A[2]","$STATESET2.A[1]","$STATESET2.A[2]"
0.97,-1.27988051953382,-0.08603903193134238,-8.938554512619907,-1.27988051953382,4.988703332442543,-8.938554512619907,0.2235743496471549,-1.27988051953382,5.064245074697556,0.2235743496471549,-1.27988051953382,-0.4925416581207294,-0.08603903193134238,1,0,0,1
0.972,-1.297705341053476,-0.08861661051505948,-8.885557899147285,-1.297705341053476,5.13338945263224,-8.885557899147285,0.2336961695271572,-1.297705341053476,5.215964002006237,0.2336961695271572,-1.297705341053476,-0.4920844402547415,-0.08861661051505948,1,0,0,1
0.974,-1.315421824132888,-0.09122973185943005,-8.830233765214881,-1.315421824132888,5.279634437339362,-8.830233765214881,0.244108925169133,-1.315421824132888,5.369774824586663,0.244108925169133,-1.315421824132888,-0.4916066883443069,-0.09122973185943005,1,0,0,1
0.976,-1.33302522391608,-0.09387817568646506,-8.77252141869012,-1.33302522391608,5.427393936330771,-8.77252141869012,0.2548156876730635,-1.33302522391608,5.525664371530068,0.2548156876730635,-1.33302522391608,-0.4911078172151012,-0.09387817568646506,1,0,0,1
0.978,-1.350510904237932,-0.09656170624508024,-8.712359899048801,-1.350510904237932,5.576622918540089,-8.712359899048801,0.2658194658159694,-1.350510904237932,5.683620058272962,0.2658194658159694,-1.350510904237932,-0.4905872367755186,-0.09656170624508024,1,0,0,1
0.98,-1.36787378901622,-0.09928008624220867,-8.649688382318537,-1.36787378901622,5.727272944903195,-8.649688382318537,0.2771231376932937,-1.36787378901622,5.843627164317269,0.2771231376932937,-1.36787378901622,-0.4900443494988383,-0.09928008624220867,1,0,0,1
0.982,-1.385108765746515,-0.1020330661572861,-8.584445991114078,-1.385108765746515,5.87929408513248,-8.584445991114078,0.2887294930349485,-1.385108765746515,6.005670784198057,0.2887294930349485,-1.385108765746515,-0.4894785525541879,-0.1020330661572861,1,0,0,1
0.984,-1.402210610529621,-0.1048203859275162,-8.516571897700668,-1.402210610529621,6.032634523314743,-8.516571897700668,0.3006412210108109,-1.402210610529621,6.169735452003315,0.3006412210108109,-1.402210610529621,-0.4888892376540995,-0.1048203859275162,1,0,0,1
0.986,-1.419173970403489,-0.1076417751515285,-8.446005397927655,-1.419173970403489,6.187240432817985,-8.446005397927655,0.3128609039927516,-1.419173970403489,6.33580503550892,0.3128609039927516,-1.419173970403489,-0.4882757911695272,-0.1076417751515285,1,0,0,1
0.988,-1.43599336225277,-0.1104969528644208,-8.372685977188603,-1.43599336225277,6.343055932465446,-8.372685977188603,0.3253910131339104,-1.43599336225277,6.503862710924591,0.3253910131339104,-1.43599336225277,-0.4876375943338228,-0.1104969528644208,1,0,0,1
